task_name,task_family,id,definition,inputs,targets
task284_imdb_classification,Sentiment Analysis,task284-9d38a72d1c58441dad45dd2c1c3e7f04,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","This is a truly awful film. What they have done is taken a TV show, which was never aimed at young children & given it the George Lucas treatment (i.e. ruined it by kiddifying it to appeal to the younger audience).OK so the Thunderbirds TV show wasn't exactly the most cerebral of shows, in fact it was pretty formulaic, but it was always enjoyable to watch (especially when the models got blown up) and the voice cast wasn't too bad.This suffers from bad casting & bad acting (with the notable exceptions of Sophia Myles as Lady Penelope & Ron Cook as Parker, who seem to be the only cast members to have a clue about how their characters should be played) & after this travesty I wouldn't let Frakes direct traffic.The whole point of Thunderbirds was that it was about the whole Tracy family & how they worked as a team, preventing disasters or coming to the rescue of those involved in disasters.Avoid this rubbish like the plague.I only give it 1 out of 10 because a zero rating is not supported.",negative
task284_imdb_classification,Sentiment Analysis,task284-126c725922274202bd2c98f190b22d07,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","To overcome the death of his wife, an old man does what anyone in his position would naturally do (at least in a Peter Greenaway movie): he and his son populate their home with eight and a half (one has no legs) women and embark on a sexual odyssey. This being a Greenaway film, there is lots of pretentious and uninteresting blabbering and of course there is unnecessary male nudity. In fact the father and son share a bed sleeping in the nude. Gross. Besides, who wants to see an old guy full frontal? For those who are not into the homo-erotic scene, one of the women likes to do the nasty with horses. There is no story - just a random collection of dull scenes.",negative
task284_imdb_classification,Sentiment Analysis,task284-a01dfe7603ac43b9967419f29ec207b4,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","Supposedly a ""social commentary"" on racism and prison conditions in the rural South of the 1970's, ""Nightmare"" is full of bad Southern stereotypes, complete with phoney accents. Not only would it be offensive to the sensibilities of most American Southerners, this tawdry piece of work comes off as just a thinly-disguised ""babe in prison"" movie--especially in its uncut original version. Nevertheless, acting is generally above average and the late Chuck Connors, in particular, does a good job of making viewers hate him--even though he looks somewhat uncomfortable in several scenes. There's also a change-of-pace role for the late Robert Reed, who appears as the lecherous warden, and Tina Louise (previously Ginger of ""Gilligan's Island"") made a rather believable sadistic prison guard. My grade: D. ",negative
task284_imdb_classification,Sentiment Analysis,task284-408ad840cbdc457291bd7de94e8eb349,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","During a Kurt Weill celebration in Brooklyn, WHERE DO WE GO FROM HERE? was finally unearthed for a screening. It is amazing that a motion picture, from any era, that has Weill-Gershwin collaborations can possibly be missing from the screens. The score stands tall, and a CD of the material, with Gershwin and Weill, only underscores its merits, which are considerable. Yes, the film has its problems, but the score is not one of them. Ratoff is not in his element as the director of this musical fantasy, and Fred MacMurray cannot quite grasp the material. Then, too, the 'modern' segment is weakly written. BUT the fantasy elements carry the film to a high mark, as does the work of the two delightful leading ladies - Joan Leslie and June Haver. Both have the charm that this kind of work desperately needs to work. As a World War II salute to our country's history - albeit in a 'never was' framework, the film has its place in Hollywood musical history and should be available for all to see and to find its considerable merits.",positive
task284_imdb_classification,Sentiment Analysis,task284-a3872f457a7b414588a22ff94c7be79b,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","Fritz Lang's German medieval saga continues in Die Nibelungen: Kriemhilds Rache (1924).Kriemhild (Margarete Schoen) wants to avenge her murdered husband, Siegfried.Her brother is too weak to bring the murdered, Hagen, to justice.Kriemhild marries Etzel, the King of the Huns (Rudolf Klein-Rogge).She gives birth to a child, and invites her brothers for a party.Etzel and the other Huns should kil Hagen, but he is protected by his brothers.We see a huge battle of life and death begins, and she sets the whole place on fire.Eventually Hagen is dead, and so is Kriemhild.These movies deal with great themes, such as revenge and undying love.Sure we have later seen some better movies made of those topics, but this was one of the early ones.",positive
task284_imdb_classification,Sentiment Analysis,task284-de94c1d9749045e8bb4420c5420143e4,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","If you love cult 70's Sci-fi the way I do, or if you like movies such as ""Repo Man"" or ""Buckaroo Bonzai"" than you're going to love this one. It's a stream of consciousness 70's Sci-fi spectacular, including a 22nd century junkyard and the Earth a million years from now. This movie is pure 70's. Put on Steve Miller's ""Fly Like An Eagle"" or Pink Floyd's ""Dark Side Of The Moon"" and you're ready to go!",positive
task284_imdb_classification,Sentiment Analysis,task284-ae5c0c62f9f14115a8277d7cda5ab20b,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","This is a strong movie from a historical and epic perspective. While the story is simple it is pure and straightforward. In truth, it is the standard story of a simple, honorable man whose honor comes into conflict with the more educated and wealthier men of the period.Poor vs. Rich, honorable vs. dishonorable, a classic but well-told tale without much of the glitz of hollywood stinking up the screen.Extra points just because you can almost smell the people on the screen. :)",positive
task284_imdb_classification,Sentiment Analysis,task284-58e267185cbf4315aca52bef2b31b272,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","A detective (Dana Andrews) with a reputation for violence accidentally kills a suspect in a murder (Craig Stevens) and then tries to cover it up. The Otto Preminger directed film has plenty of atmosphere but the story gets watered down when the dead man's wife (Gene Tierney) falls for Andrews. He was doing fairly well digging himself into and out of a big hole, but she was just too much light at the end of the tunnel for a noir film. Gary Merrill is great as Scalese, a crime boss that Andrews is obsessed with bringing down, and the tension between them gives the film its energy and drive, especially a scene in a bath house with Merrill, Andrews, and Neville Brand, and the night time rendezvous outside of Bellevue Hospital, that sets up what ought to have been the film's conclusion. High marks for atmosphere, Andrews, Merrill, etc... and the general portrayal of the underworld, though the love angle and the simplistic good cop bad cop elements don't help its cause.",positive
task284_imdb_classification,Sentiment Analysis,task284-f0b3bb5cf6dc42f2bc18a13791397907,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","LOVE AT THE TOP--the utterly wrongheaded American title for the superb French film ""Le Mouton Enrage"" (which means, I think, The Rabid Sheep)-- is such an original movie, the fact that it dates back to 1974 seems all the more astounding. This film was far ahead of its time; even by today's highest standards, it accomplishes things that seem rich and new. Filmed by the hugely underrated director Michel Deville, it rather defies description in the way it combines social critique, comedy, mystery, love, sex and satire into one wholly original mix--leaving for the end a major but subtle surprise to render all that has gone before suddenly sad and more understandable. The cast is splendid, ditto the writing and theme. But it's Deville's delicious tone, keeping you constantly off-balance but enrapt, that pushes this ""lost"" film to a very high level indeed. (The written interview with the director on the ""Special Features"" section of the DVD is definitely worth reading if you have the time.)",positive
task284_imdb_classification,Sentiment Analysis,task284-74cee172babe4b3596ebdeac29301e0d,"In this task, you are given a review of movie. Your task is to classify given movie review into two categories: 1) positive, and 2) negative based on its content.","I should put out an alert all over saying that the movie shouldn't be watched. It fails to a fitting tribute in such a magnificent manner that it is almost an insult to the memory of those brave men. The special effect were horrible, I hadn't expected the total failure on the part of the director to appreciate military technology. How can a machine gun which normally fires at the rate of 600 rounds per minute fire at 1/10th the speed? How can soldiers fall forward when a grenade explodes in front of them? How can people survive when there are artillery shells falling as close as 20 feet away? How come the artillery shells fall only on either side of the road and not the road itself?Not only did this disrespect for the weaponry appall me, it was the cliched situations and the incongruity of the dialogues which had me screaming murder. There were the standard dialogues like Ye bhi kisi ka bhai hai, ise laath mat maro and Pakistan se jyaada musalmaan to Hindustaan me hai and LOC cross mat karo ye mera hukum hai. Stupid to say the least.What Shobha De had written is true. The director worked without a script and it shows. There is no flow to the movie. There is no gradual progression from one battle to another. It is just one gunfight after the next with no connection to the overall scheme of the war. The explanatory scenes are awful. The chief of army staff looks unconvincing. To make matters worse the theatre people had indiscriminately cut footage to fit the four hour long movie into 3 hours.",negative
