task_name,task_family,id,definition,inputs,targets
task475_yelp_polarity_classification,Sentiment Analysis,task475-b8e7d33cdbf9408584098bbc1445352a,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.","Not the biggest fan of this place.  Usually get the Orange Chicken to use that as the bar, and it was horrendous.  I think they bought frozen popcorn chicken, and put a gross glaze on it.  Service was great, in it was extremely quick.  Only saving grace for them...",NEGATIVE
task475_yelp_polarity_classification,Sentiment Analysis,task475-43cab746d63241fa98780dad0a7b333e,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.","I usually order from my grub hub app, and everything is always great! Thank you!",POSITIVE
task475_yelp_polarity_classification,Sentiment Analysis,task475-9bae3fce12c14c96b681b832254a7855,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.","Charlotte needs more theatres with limited release movies.  Right now there is the Manor Twin, and this place.   Pretty old, but since I love indie movies, it's all I have :(",POSITIVE
task475_yelp_polarity_classification,Sentiment Analysis,task475-897c89387e7d4ba5abb001a804f3eae4,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.",this is a totally awesome place to eat. great service and staff. have not found anything on the menu that i did not like. the baby back ribs fall right off the bone and the potato soup is soooo creamy. you gotta try the onion rings but make sure you have more then one person to eat them. a huge order.,POSITIVE
task475_yelp_polarity_classification,Sentiment Analysis,task475-06b407d67b4a4d23b152822ea1489603,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.",I've been here multiple times and have had different experiences every time. The service is ok. It could be better but that doesn't really bother me since every time I come here i'm usually not by myself. The food is really good but the prices could be a little better. The portions are really big (like The Cheesecake Factory) so sharing meals is probably a good idea if you are coming here with any little kids. Other than that this place is easy to find and there is always tons of parking. I've never had to wait for a table since i've only been here for lunch so that's a plus.,POSITIVE
task475_yelp_polarity_classification,Sentiment Analysis,task475-0e6a74fa37904c29847e89798b1a79a0,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.","This place is awesome! Look for for Erica, I promise she will take care of you! She is the real deal! 10/10 stars highly recommended.",POSITIVE
task475_yelp_polarity_classification,Sentiment Analysis,task475-772ec0cbceb1419488d71f197ecf5c4e,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.","Just got home from our third visit to Aji Picante.  The firat two visits were really very good.  We especially like(d) the BYOB with NO Corkage.  The food was fresh, interesting and well, maybe just seemed better because we just wanted it to be.\n\nThis evening's experience left us with a salty and disappointing taste.\nIt all started well.  We were very well attanded to by our server who came over and described the specials and explained the menu.  While she described the specials, she exclaimed that the \""""scallop entree was amazing\"""".  We ordered appetizers and she opened and poured our wine.\n\nAs she was getting ready to take our entree order, one of the other servers came over to our table and told her that they were out of the scallops and parmesan over pasta special.\n\nThree of us were truly disappointed as they were going to order this as their entree.  I amused that I'd be glad to go down to Giant Eagle to pick up the scallops if they still had the pasta, cream and cheese.  She retorted that \""""sorry, we're really out.  It's been a popular selection tonight.\""""  Having been so gloriously described as \""""amazing\"""", my wife and our friends (who were there on our recommendation and was their first visit to Aji) had to go back to the drawing board, adjust their taste bud profile, and choose something else which would, of course, never measure up.  \n\nThe appetizers came and we gladly devoured them in short order.  My wife and I had ordered the pork shank, and our friends had the chicken and the paella.  At about the time that our entrees came, we noticed that three young and attractive women were being seated a few tables away.  We noticed them because they were indeed attractive and they proceeded to take a number of pictures of one another and as a group.\n\nWe picked at our entrees for a while and none were particularily outstanding.  In fact, we all took over half our meals home.  When our server came over to take away the leftover food, my eyes looked at her and then were diverted beyond her to the table containing these three women.  Lo and Behold, two of the three were digging into, yes, the scallop and pasta special that must have 'amazingly' re-appeared on the menu.\n\nBeing the curious type, I queried our server \"""" Is that indeed the scallop special that was sold out 45 minutes earlier?\""""  She looked around and exclaimed, \"""" They must have taken them off for a while while they prepared a new batch!\""""  To I replied, \n\""""But they were really sold out.  I offered to go to the store for you\"""".  \n\nShe took our a small dessert/coffee order and sheepishly walked away.\n\nWhen she came back to the table, she told us that the dessert (one item) and the coffee (only coffeee for our friends) were on the house for the inconvenience, and that:\n \n\""""Pam will be coming over to talk to you.\""""  \n\nThe four of us shared the single dessert and our friends drank their coffee.  We waited around talking for 30 minutes and, needless to say, Pam never showed up to smooth over the gaffe.  She didn't think it important enough to fess up to the screw up or to at least have the fortitude to apologize in person.  Truly disappointing and, for me, a restaurant death sentence.\n\nThe whole experience could have been handled so easily, but it wasn't.  Too bad. \nObviously, the four of us won't be back.\n\nAs an aside, I also can't stop drinking enough water for the last 2 hours.  It started after the entrees.",NEGATIVE
task475_yelp_polarity_classification,Sentiment Analysis,task475-31dce209797d49e787583a26e273d81f,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.","You walk into a Chinese restaurant on a Saturday afternoon for dim sum and you expect the place to be PACKED.  Well, walking in to a pretty much empty dining room, it's a VERY CLEAR SIGN.  But my friend insisted and I was very hesitant for good reasons.  Another indicator, the majority of the patrons were NON Asian.  \n\nFood: You walk in and you see carts of the food by the entrance to the dining room.  Umm, I thought dim sum should come right off the steamer and into the carts and they roll it around, not sitting around.  The dim sum was garbage.  It had the typical selection, but at minimum.  \n\nService: It's ok.  But it doesn't make up for the horrible food.\n\nBottom line: NO WAY!  Stay away!",NEGATIVE
task475_yelp_polarity_classification,Sentiment Analysis,task475-dd4b2704d9f44c219843dd8f55e5a090,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.","I recently moved to LV from the LA area so naturally I needed to find a mechanic.  Based on YELP I narrowed down my choices and ultimately decided on Ted Weins because of its proximity to the shopping center(silly, I know).  Nearing 100k miles I knew the spark plugs on my Expedition would need to be changed soon.  Sure enough after a couple trips back and forth from LV/CA the engine light comes on! Auto Zone diagnosed the problem for free! It was a misfire on #5(i have a V8).  So there I go to Ted Weins to get it fixed! They wanted $100 just to diagnose but would use this towards work done if I did it with them! I agreed, but only replaced one plug bcuz they quoted me $1100 to replace ALL 8!!!!  I leave happy and sure enough the engine light comes on again! Auto Zone diagnosed it for free again and now its a misfire on #6!  So I go to Ted Weins about 3pm to get the work done but they want to charge another $100 to diagnose it! A short time later I get a call and confirm what I already knew, a misfire on #6!  But, they tell me it's late and they can't finish before closing time(which they should of said b4 the diagnosis).  So I leave without paying the $100 with a promise to return, hence the reason they didn't charge me the $100 for the work they couldn't do that day anyway.  The next couple days the weathers horrible and I don't return.  Then I get a self induced illness(hang over).  I finally return to a not so pleased salesman who says he's on the hook for the $100 he \""""should of charged me.\""""  So I agree to have #6 replaced but NOW the work comes with a disclaimer of the plugs are VERY sensitive and need to be replaced when car is cool to avoid any breaks otherwise it cost an extra $100(coincidentally the same amount I supposedly owe them for a diagnosis on work they couldn't do).  So I leave the truck, go to the shopping center and wouldn't you know I get a call saying \""""sorry, have to pay the extra $100, it broke while being replaced.\""""  Not being one to complain(like now) I paid and left...... Fast FWD to present and I'm in LA.  I go to Auto Zone again and buy 6 spark plugs(for cheap) for the remaining ones that need to be replaced!  I use YELP to find a place in LA(granted its a gas station in East LA) and the guy tells me $65 bucks to replace the remaining 6!!!!!!!!!!!!! Of course I take the chance and return a few hours later to a perfectly working car! I ask the guy did any of them break when u took them out.  And in his best Splanglish accent he replies, \""""Na, ju just needs to no(know) what ger(your) doing.\""""......... Happy with my car now but definitely looking for a new mechanic in LV!!!!!!! The honorable thing to do at Ted Weins would of been I'm sorry I should of charged you the $100 and gave you the credit when u returned and my boss got mad; and not \""""let me find a way to get that $100 back.\""""",NEGATIVE
task475_yelp_polarity_classification,Sentiment Analysis,task475-3e2663533cc348e69213bc11ac9b14db,"In this task, you are given Yelp reviews. The task is to classify a review as ""POSITIVE"" if the overall sentiment of the review is positive or as ""NEGATIVE"" if the overall sentiment of the review is negative.","OK, so it was our first night in Vegas and we had no clue what we were doing. Someone asked us if we wanted free champagne so we said yes. Then we tried to get it.... uh.... not so easy. They keep the crowds outside to make it look desperately popular, then when you get inside there's one girl wearing a belt as a skirt and swinging her ass rather disinterestedly on a table. Then you get 10 minutes of the hour's free drinking for no explicable reason, when the trolls are still giving out freebies outside. \n\nLies, damn lies, and a bunch of wannabe strippers (and a couple of real pole dancers who were, to be fair, pretty good). Not my scene. Maybe better for dinner.",NEGATIVE
