task_name,task_family,id,definition,inputs,targets
task476_cls_english_books_classification,Sentiment Analysis,task476-86f9a944f9634080bf4a25e3d19e33cd,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Jewish Tenements . This is really an artful piece of work. Eisner was a revolutionary. He paved the way for stories that were embedded in reality. He really inspired another legend, Frank Miller who produced Daredevil's best run and Sin City. These are some really gripping stories that grasped at my heart strings I felt sorry for the wife of the alley singer, I felt sorry for the rabbi who lost his daughter, etc. Well it seems I just felt sorry for these folks.  If you're a comic fan, you love reality represented and you like tan and white (which Eisner said is the color people dream in) then this is the book for you",POS
task476_cls_english_books_classification,Sentiment Analysis,task476-22e5c95f7448412c941ea97938a33efa,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Dreadful plot, nice dialogue . This is meant to be a mystery, but one can deduce the entire plot in almost the first couple of chapters.  Then it gets boring waiting and waiting for the rest of the characters to stumble over it!  A couple of the sub-plot characters (Regina & Lucy especially) are nothing more than boring caricatures. I was very disappointed in the whole satan worshiping mumbo jumbo mystery - doesn't seem like something Jane Austen would need to prop up her books.  That said, the dialogue and general writing is great.  I really enjoyed the first half of the book that centered on Kitty and Harry's courtship.  I really wish there hadn't been all the aforementioned mumbo jumbo and instead Bebris had concentrated her obvious talents on the excitement of normal life",NEG
task476_cls_english_books_classification,Sentiment Analysis,task476-ba8c2d6c126a454f99acb88e9f1cef65,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.",Are we reading a rough draft? . Just in the first few paragraphs alone she makes the same point about the smell of the slave market not being quite as strong because of the cool weather 3 times.  It seemed like a redundant effort to fill pages with nonsensical information.  If she had a better editor who helped her catch these errors she could concentrate on making an even deeper more rich story which I believe she desperately wants to accomplish.  Sorry to say I won't be reading another of her stories again,NEG
task476_cls_english_books_classification,Sentiment Analysis,task476-7ef828070e97461a83bf1437f9a15a00,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","How to destroy your relationship with your kids . Regrettably, I bought this book (for one cent) based on the strong reviews.  I will never put so much credence in reviews again.  This would definitely not be one that you would thumb through at the bookstore and buy.  The author appears to have been introduced to child psychology about five minutes before writing this book.  His methodology is extremely juvenile and naive.  His whole approach is to have an arsenal of canned phrases that you tell your kid for various circumstances.      This doesn't sound like a bad thing at first until you find out what unimaginative over-simplistic blabber that ""Chick"" offers.  I could point out samples from every page of the first 25 that I read and the dozen or so others that I then skimmed through.  Just quoting this pansy-ass fluff turns my stomach.  Here is a story he tells a speaker who was distracted by a couple of kids talking at a lecture...     ""Frowning, he looked at them and very quietly said 'I'm feeling distracted by your behavior.  Please make a different choice.' By telling these students to make a different choice the speaker used language that communicated respect.  His message informed them 'I see you as responsible for your own actions.  You control your behavior.  You choose your responses to life.'    Every page has this same sickening tone to it.  If you want to avoid reality and miss the opportunities to affect your children in a way that builds self-esteem and confidence in them with real heart to heart interaction and instead gum them up with garbage talk then this book is for you.  Otherwise, to quote the author ""PLEASE MAKE A DIFFERENT CHOICE"" and find a better book or just use your own intuition and common sense.  This book teaches you how to destroy relationships by talking in mumbo jumbo out of the side of your mouth, while trying to keep a straight face.  A one star rating gives this comic book way too much credit.",NEG
task476_cls_english_books_classification,Sentiment Analysis,task476-48ee3a0bbac4455a8e542a254bfb0dd4,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Not Good . Oh my, what a voice, she really gets on one's nerves. In way  too much a hurry with all that she is ""trying"" to achieve.  I could not get past the first couple of minutes of her whinny  directions.    Do yourself a favor and pass this one by",NEG
task476_cls_english_books_classification,Sentiment Analysis,task476-ed34e2b21a824746be781e3d1fd32023,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Extremely useful . Great for anyone taking Partial differential equations, mathematical physics, and the related courses. Carl Bender is a master of the field as well as a great book writer, as well as Orszag. The only complaint is the type setting--a bit too small. But not a big proble",POS
task476_cls_english_books_classification,Sentiment Analysis,task476-116cba86cb014b23b02d66f904a5a662,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Excellent introductory book on the sesual world of fragances . This handy little book packs quiet a punch.  It contains history,  scientific theories, artistic interpretations, production methods, and  detailed glossary of the essential oils and where to get them.  A must have for people who wants to experiment with creating their own secented materials",POS
task476_cls_english_books_classification,Sentiment Analysis,task476-0e888495c9b44fcc957fa5b93fa0f95a,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","A well researched overview of life in the early colonies. . This book is a well researched and organized overview of life in the early American colonies.  Taylor goes to great pains to supply insights into government and family matters of, and the trades and professions of 17th and 18th century settlers.  Intended as a sourcebook for writers, it is also a must for the history student who wishes to better understand American colonists",POS
task476_cls_english_books_classification,Sentiment Analysis,task476-4422fb978c294865aef68eca0875a1ee,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Excellent resource for understanding a complicated issue. . Dr. Rydelnik has done an excellent job of synthesizing his study of history and the Bible to bring clarity to an often-unclear issue. This book gives the reader a good grasp on the history, development, and current state of the the land of Israel and the conflict with the Palestinians. It also provides us with an invaluable, clear presentation of what the Bible has to say on the issues of who can claim ownership of the land, and of Israel and the Arab states in prophecy. I highly recommend it to anyone who would like a better understanding of the Middle East conflict, beyond what the headlines tell you.",POS
task476_cls_english_books_classification,Sentiment Analysis,task476-145eb4a6f86b4528871270bad9ea2da4,"In this task, you are given books product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Best of the 4-Volume Set but.... . This is the best starting book for anyone who wants to delve into hypnosis. But it is often available as used book only and is the first in a 4-vol set. But soon (sometime in early 2006), there will be a 8-vol (yes, 8 books in a set) set in a single CD that also comes with audio and bonus video and at $75!    Back about this book... It tells you experiments and findings of tests conducted on hypnotized subjects and how they react to suggestions by the ""hypnotizer"" and also what happens when they are told to do things (while in trance) that they would not do in normal consciousness.      The sections on Trance and Suggestions are excellent; perhaps the best OVERVIEW of trance and how suggestions work.    Much of the material is suitable for a hypnotherapist to use in a pre-talk to trance induction",NEG
