task_name,task_family,id,definition,inputs,targets
task477_cls_english_dvd_classification,Sentiment Analysis,task477-8cf1bd40fad94740a653b05bc83ad4ce,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","Too many changes . I loved Gilad from watching him on ESPN and LOVE the beach scenes.  However, I felt like he went too fast; I was playing catch-up because he switched from one thing to another very quickly.  There weren't a lot of repeats before moving on to something new.  Maybe if I did it more and got used to it, I wouldn't mind.  However, I much prefer my Kathy Smith and Cathe videos.  This one is just collecting dust for me right now.  Maybe I'll give it a try another time, but I regret buying it",NEG
task477_cls_english_dvd_classification,Sentiment Analysis,task477-b972550a8e994f15a7825cb9b76af7af,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","Roaring biplane blast from the past! . My father took me to see this movie when I was a child of about six or seven.  Actually, he wanted to see it and he had to take me along.  I didn't remember the plot, but I remembered the scenery and the music and the cool biplanes and dogfights.    So, I finally bought this movie so I could watch it as an adult.    I can empathize with those who say this movie is too long and moves too slowly.  That said, I enjoyed it more than I thought I would.    The airplanes are amazing.  Where did they get all these biplanes from?  The only other movie I've seen that has such authentic looking biplane dogfights is ""Wings"", and that was made back in the 1920's when biplanes were all over the place.    The soundtrack by Jerry Goldmith fits the movie perfectly and adds mood where appropriate.    I loved the ""intermission"".   It reminded me of a time when a movie was a real event.  Movies were so long that the movie itself gave you a break to use the bathroom.  I saw this movie in a theater that was designed to allow perhaps a thousand people to watch a single movie on a huge screen, not some modern ""plex"" theater that has twelve little rooms where you can pay to see a movie with a bunch of strangers a few months before it's out on DVD.    So, it moves a little slowly by today's standards, but it's epic, and it's interesting to watch Peppard's character slowly alienate himself from his squadron, and his lover, so that at the end they kill him off by giving him the ""privelege"" of flying an experimental aircraft.",POS
task477_cls_english_dvd_classification,Sentiment Analysis,task477-d4c82ffa1df24584803c194b41af2e4c,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","very well done . I really enjoyed this concert DVD. The sound is excellent. The performance is mesmerizing; it was one hell of a show.    Occasionally, I was a little distracted by the post production editing which detracted from the show. That is my one complaint.    I'm not familiar with all the artists that assisted with the show, but I am assuming it was a huge A-list of Hip Hop stars.    I would definitely see the Gorillaz in concert after watching this DVD",POS
task477_cls_english_dvd_classification,Sentiment Analysis,task477-04dfde1c08394696b835717f13ddcecc,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","A Classic . It's a beautiful classic made during our time.  If you love romance, this is a beatiful remake of a classic. Love the children's and Annette's rendition of the Beatles ""I Will"".  Dissapointed that the song is not on the original soundtrack. I bought the VHS version in 96 and lent it to my friends.  They all loved it.  They kept wanting to borrow and replay it - for the song; as well as for the beautiful everything that best describes the the movie.  The VHS is now kaput and I definitely have this in my list of the next one to add to my collection of DVDs. Hope you will enjoy it too",POS
task477_cls_english_dvd_classification,Sentiment Analysis,task477-c9fa79040fe846c58b5db3c977def5ba,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","1 star if you own the extended version, 5 stars if you just want the movies . I, like a lot of others was kind of annoyed when I saw another issue out.  I own the extended and theatrical releases already.  BUT, I had to buy them to see the ""Never before behind the scenes documentary"". To be honest, I wasn't impressed.  A few funny things, but all in all...I could have lived without it.  It's just a bunch of stuff slapped together with no rhyme or reason.  The Extended version extra material is so far superior.  That's my opinion.  But like me, you may just have to have it! Shame on the greedy movie companies for doing this to us!  If you don't own the movies and are generally not into the extras, this is definitely a good way to go,  You get both versions and in a very smart package",NEG
task477_cls_english_dvd_classification,Sentiment Analysis,task477-83034fe6304c457aadee0d78e6ca039c,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","A Poor Excuse For A DVD . Don't get me wrong. I LOVE the story. I've seen it in the cinema in the 80's and I still love it. But the issue why I gave low ratings is because of the DVD. This is the first time I've seen a DVD where the makers of it, puts watermark images of the company in various scene in the movie. Talk about advertising!    Second, on the cover, it was written that the movie has undergone digital transfer. The only thing that I think, where the movie got it ""digital transfer"" is from a poor quality VHS tape to DVD. This is absurd! Even the soundtracks bear the quality of a bad tape recording.    I've watch other Sonny Chiba's movies from the 80's in DVD format like Ninja Wars and GI Samurai aka Time Slip and both quality is what a DVD should be. This one is clearly an attempt to make a quick money at the fans of the man.    The first 2 reviews, refers to other movies and not the one in question. To Amazon, please remove this item from your listing.",NEG
task477_cls_english_dvd_classification,Sentiment Analysis,task477-ba68c8a7ddf2463cb3ac399dd87ee7de,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","Did I miss something??? . I saw this a few nights ago on regular late night tv, so maybe it was edited to death and I missed all the interesting parts???? All I know is that it seemed highly unbelievable... Spoilers follow....(...why does the rapist just walk in her front door...would you leave your door unlocked if you had just been attacked and the rapist had your driver's license?!!) Anyways...I couldn't get past that part through the whole movie, so maybe that's what made me hate it. I do have to give kudos to Farah Fawcett though, her acting was excellent and seemed very genuine...maybe she has been through some similar trauma in real life?",NEG
task477_cls_english_dvd_classification,Sentiment Analysis,task477-9a6c67ed81384729b190fffbfd1bf35b,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","Also a Mingus fan and fellow bassist . High points and low points often in the same song.  Overall a pretty forgetable performance.  I found Jack Walrath's (trumpet) performance pretty inspiring, but George Adams (sax) came off as a way over the top and annoying.  I think I'll go listen to Mingus Ah Um right now to wash the taste out of my mouth",NEG
task477_cls_english_dvd_classification,Sentiment Analysis,task477-df87833a4fdd48eea530532ea57a20cc,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","Very Disapointed . When I was considering buying this film, I read all the reviews and though alot of them were negative, I decided to get it anyway because I am a huge fan of Jane Austen's books and like BBC's movies. I was very disapointed after watching it! This was one of the worst movies I have seen. I could not believe it! The music was much to modern for time period, and they made the movie much too creepy, whereas the book is much more lighthearted, though there are some dark parts to it. If you're considering buying this, I would advise against it. I hate to be negative, but watching this movie was a waste of time.",NEG
task477_cls_english_dvd_classification,Sentiment Analysis,task477-1d352b95b8a142bb862bf9139e3d3667,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","Like It Even Better on DVD . To be honest, I loved the Japanese original of this movie so much that my first watching of the American version was a little tainted. But I just watched the Richard Gere version again, this time on DVD, and found that I really like it more than I realized. Gere is so winsome (I'll pay to watch him dance any day, he is aging gorgeously!), and Lopez so elegant, and all the other characters so interesting, and the music so sexy, why quibble over which movie is better? This story is entertaining and touching in its own right, even if not as nuanced and heartfelt as the Japaese version. I have watched ballroom dancing competitions for years, and this film conveys the romance and excitement that draws people to those competitions. The story is charming, adult and PG with a  satisfying ending -- how rare is that combination these days? The DVD offers good insights into the ballroom training and hard work behind the movie, as well as a wonderful ""Sway"" music video. Which reminds me -- the soundtrack is excellent, and I bought that, too.",POS
task477_cls_english_dvd_classification,Sentiment Analysis,task477-534d419828174695a2102826d0234bb5,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","Best Show Ever . Hilarious.  Simply hilarious.  This show is genius, one of the smartest and funniest comedies ever.  I am shocked it was cancelled after 3 seasons and amazed that it is not more widely accepted as quite possibly the best show on television.  Anyone with a good sense of humor that loves ridiculous situations and randomness would love these DVD's.  I only hope that comedy central releases seasons 2 and 3.  There is a petition, everyone who's interested should sign, just google it",POS
task477_cls_english_dvd_classification,Sentiment Analysis,task477-33756329d80a42828ae4f51513b0cd41,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","what do you mean you LOST THE BOOK!!!!!!!!!!!!!!!!!! . i can still remember sitting down in front of the t.v. and watching the pilot movie as a kid and loving the idea of a superhero who was as lost about his powers as i felt about my 12 year old body at the time. funny and action packed this was a great show and i am glad to see that it has made it's way onto dvd. william katt,connie selleca,and the great robert culp star as the ""team"" of teacher ralph hinkley,bill maxwell,and pam davidson and they were a great team!      one night ralph is driving and spots a light in the sky,as does bill(culp as the funny non bending f.b.i. man) the light is a spaceship and ralph is given a ""supersuit"" with a book to tell how to use the suit(which he loses at once) and as he and ramrod stright maxwell join forces to save the world,ralph must also find out how to work the ""suit""!      this is one of the best and most fun shows to come out of the early 80's and it was also one of the most over looked ones today. get this great action/comedy show and enjoy the tounge and cheek humor that is still fresh today.     ""look at what's happened to me, i can't believe it myself,who could it be,believe it or not it's just me"" part of the theme song(a top 10 hit and one of the best theme songs ever for a show",POS
task477_cls_english_dvd_classification,Sentiment Analysis,task477-e94427bae38c42a48935ee6188f0d2fb,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","A Quiet, Chilling Masterpiece . Whether you're drawn to suave action heroes tossing out wry quips while emptying machine-guns into charging hoards, or of nearly wordless, hours-long existential explorations of meaningfulness and nothingness, ""I'm Not Scared"" will likely find in you a delighted new fan.    For the subtitle-phobic: take a risk!  ""I'm Not Scared"" is refreshingly original, quietly chilling, and continually surprising to the end.  The cast, led by 10 year-old Guiseppe Cristiano, is uniformly solid, and the Oscar-caliber photography is nothing short of brilliant.    The smart, effective score never gets overly dramatic nor does it tip the audience as to how it's ""supposed"" to feel. Its quiet beauty merely serves to support and bind the elements of the story, while standing humbly in the background.      I discovered this film quite by accident, having read no reviews, and now consider it to be my ""find"" of the year. I recommend ""I'm Not Scared"" without reserve or hesitation to anyone who ever wondered what his or her parents really did to make their money",POS
task477_cls_english_dvd_classification,Sentiment Analysis,task477-9273c0405a4a4bc084338289eb036d95,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","a good first yoga dvd....for someone else! . i consider myself a beginner yogi (have been to about 5-7 classes over the past year), and i found this video to be extremely unchallenging.  this video might be good for someone recovering from an injury AND who has never tried yoga before.  although sara ivanhoe comes off as a friendly, non-threatening gym buddy, i just couldn't overcome the total lack of breath awareness that seems to be a basic part of yoga.  also, i am not in very good shape, and i didn't even break a sweat during the 'fat burning' workout.",NEG
task477_cls_english_dvd_classification,Sentiment Analysis,task477-3004a3ca61db42fd94909098b3130d74,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","Leaves an impression Zero Woman rocks!!! . Miki Sugimoto is absolutely gorgeous and strong as Rei, Zero Woman, a different brand of cop that will do anything to put away scum. After she murders, the first secretary of the Embassy whose really a rapist lowlife, she gets put in prison. The President's daughter gets kidnapped and the cops desperate to get her back bring back Rei to do the job they can't do.    Amazingly over the top exploitation mixed with decent acting, a nice soundtrack and special effects. Rei has her moments as well rubbing it to people who really deserve it. She's without pity and compassion and when you see what happens to her you realize why. This is a great guilty pleasure that really needs to be seen. Only five reviews so far? Anybody whose reading this review who hasn't seen it needs to go out and buy it",POS
task477_cls_english_dvd_classification,Sentiment Analysis,task477-0f2a8039928f4b469d4b2f5a789d7875,"In this task, you are given product reviews about dvds. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive(the reviewer is satisfied) or as ""NEG"" if the overall sentiment of the review is negative(the reviewer is not satisfied).","Kathy Smith fan... . I have several Kathy Smith videos & never minded the outdated clothes, hair, or music because of the quality of the workout. I've tried newer more popular videos every year & found the instructors prissy and their routines contrived. I'm a big fan of Kathy's style and she never failed to deliver a truly effective workout that left me soaked w/sweat & ready to do it again the next day. Having said that, this video SUCKED!! When I got pregnant I immediately sought out Kathy's video among all the other pregnancy fitness choices and was sorely disappointed. I think my grandmother could handle this routine on fast-forward!! I get more worked up doing my dishes than this video!! I've resorted to just doing my favorite Kathy Smith step video without the step instead",NEG
