task_name,task_family,id,definition,inputs,targets
task478_cls_english_music_classification,Sentiment Analysis,task478-0606353181e44723bcc7ed8ae6f53e28,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","The King's New Suit . I would call this the musical equivalent of the worst of abstract art.  There are those that ""appreciate"" unintelligable works for fear of being thought stupid if they don't . . . just as the emporer's subjects ""Ooh""ed and ""Ah""ed in admiration of his clothing as he paraded naked in front of them",NEG
task478_cls_english_music_classification,Sentiment Analysis,task478-d7f2a427bae843fb8d20640c9794c031,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","murdering the dead horse . ""A Collection of Short Stories will go down as one of the best debut albums of any band.""  That, I'm afraid, is a real review...someone actually listened to this and decided that it is so good that it deserves to be ranked among the greatest debuts ever  weezer - the blue album  led zepplin - self titled   creedence clearwater revival  the cure  the pixies   queen  red hot chili peppers  sublime  the violent femmes  death cab for cutie   houston calls  ....one of these bands are not like the others, one of these bands just dont belong..  truth is, I heard this cd before I even listened to it.  This style is hackneyed and killed. It's been so long since a genuinely good band has been seen as cool that even the critics are starting to forget what good music sounds like.    ""200 miles that sure is far""...thats a real line on this cd. but whatever, this is what amazing is these days..this is where generations of integrity has brought us in music..its a lost cause because in the end i guess it really is all about the dollar.  The music industry is one of the most unstable industries out there. no one knows how they are going to look financially in the next ten years..so what  do they do? they take the quick cash in..they sign crap like this that no one has to think about. easy music, easy dollar. building a band is too much of a risk these days..now instead of building them and improving them, they produce them..autotuner, cut and paste music...so sure  this is a great cd and everyone needs to check it out because we all need to chip in on drive thru/rushmore's new escalade with chrome hydrolics..at least the rap industry is honest about where the money goes",NEG
task478_cls_english_music_classification,Sentiment Analysis,task478-2fb5be9ef7ea42a280b10d46e03caa9e,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","wonderful . I loved this Cd by Enrique Iglesias.  I was never a big fan of his until I heard this CD.  The music was so beautiful.  I didn't really know what the songs were about because I do not know much Spanish, but the songs moved me.  Some of them were so beautiful I wanted to cry.  This Cd is well worth the money of buying",POS
task478_cls_english_music_classification,Sentiment Analysis,task478-f9c9f55efcef4dc3b20bb75e290a3b73,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","One of Linda Ronstadt's best releases . I've been a Linda Ronstadt fan for years, and must say this cd pretty well covers her bigger hits.  It doesn't quite cover all my favourites, but there's only so many songs they can fit on one cd.  Cheers, Hazel",POS
task478_cls_english_music_classification,Sentiment Analysis,task478-9da78dfed741468fa3366dff31f3fbf9,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Possibly Yanni's best original release . Most of Yanni's releases before this CD were compilations of earlier works.  This was his first all new work in quite a while.  And I still consider it his best work to date.  This CD contains most of the pieces used in his &quot;Live at the Acropolis&quot;.  The &quot;Live&quot; CD and Video have a better performance of these pieces however, because of the added instrumentation.  But in the realm of his non-live recordings, this is his best",POS
task478_cls_english_music_classification,Sentiment Analysis,task478-f7e0465fbbac4e56845a92618612a8f9,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","one I'd need if stranded on a desert island . I never get tired of listening to this CD, and I like all of the songs on it.  His lyrics are so weird and interesting.  The music is so original. Great anywhere... in the car, cleaning the house, during a party, working out, etc",POS
task478_cls_english_music_classification,Sentiment Analysis,task478-95241b6d066a4460919135f0b3086d83,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Too mannered . And what's the deal with the CD cover? Anyway..I have always found her voice to be too breathy,too mannered,and trying too hard to be sexy.I just do not like her singing.I tried.I couldn't get into it.Give me Ella or June or Sarah.Now that's singing.Sorry Krall fans",NEG
task478_cls_english_music_classification,Sentiment Analysis,task478-e7d3b32c3f154cefb460433d6447339a,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","britney who??? . When Britney Spear's first album came out called Oops! I Did It Again, I thought she had talent. But when My Perogative came out, I'm like, ""Where she at? That's sooo NOT BRITNEY SPEARS!!"" I couldn't believe it!! And her music videos from the CD, uggh!! I want da REAL Britney back!!!",NEG
task478_cls_english_music_classification,Sentiment Analysis,task478-45933adacc5744b0abd2b40198be9bbd,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Bad Company is good company . If you like this album, if you like the title track, it might inspire a few hard core fans to know that the original inspiration for both the name of the band, and especially the title track, is the masterpiece of a western, ""Bad Company""- 1972.  The whole piano instrumental is practically lifted from the film's soundtrack, by ""Fantasticks"" Harvey Schmidt.  The song is a very haunting one which was a bit of an enigma for me until I saw the film itself.  It stars Barry Brown and Jeff Bridges.  It's worthwhile for not only western fans of every considerable imagination, but to fans of the band itself, to help make the song more meaningful, as it has for me!!  I highly recommend them both",POS
task478_cls_english_music_classification,Sentiment Analysis,task478-00ac45f1938d4757b10dab00bb131327,"In this task, you are given music product reviews in English language. The goal is to classify the review as ""POS"" if the overall sentiment of the review is positive or as ""NEG"" if the overall sentiment of the review is negative.","Sarge reigns in the royalty of Girl Rock . I've loved this CD ever since we got it at my college radio station... Sarge definitely knows how to rock! At the same time, the band shows good range so each song doesn't sound the same.  I especially love the lyrics,  which express a spectrum of raw emotion and real-life issues, from a girl's  revenge for getting gang-raped to thoughts on &quot;how far is too  far?&quot;.  The vocals are never overpowered by the music (which says a  lot because the music is definitely kickass)",POS
