task_name,task_family,id,definition,inputs,targets
task493_review_polarity_classification,Sentiment Analysis,task493-9cbe68ae763e4743aa2418988091d64f,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.",Paul Galdone captures the story just right with his wording and illustrations. This is a must-have for my grandchildren. You can't go wrong with a Paul Galdone illustrated folktale.,Positive
task493_review_polarity_classification,Sentiment Analysis,task493-87f54c23ccce4e299976ac2029c889da,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.","This video/DVD does not thoroughly explore all the elements of Lamaze preparation. The cover reminds me of Wilson from Castaway...he didn't know much about childbirth either.If you want to pay for only ~10 or so minutes of good information, spend your money. There are other products out there on the market that have a much greater wealth of knowledge.",Negative
task493_review_polarity_classification,Sentiment Analysis,task493-a3cbda714ca846b286d49b17fd559665,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.",What a great writer. Wilbur Smith could write about wallpaper and I would find it interesting. I just wish more of his books were available on Kindle since I will no longer by a paperback....,Positive
task493_review_polarity_classification,Sentiment Analysis,task493-4a0d826156da48c99688b2f4a1501e6b,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.","Wow, I usually like Adam Sandler & Judd Apatow/Seth Rogen films but this one came and left the theaters before I could get a chance to see it. I don't think I laughed once during the entire movie. Not even a chuckle. It seems as if no one was having any fun making this film. The unnecessary over the top crudeness of Apatow's ensemble doesn't seem to work with Sandler's schtick. I loved ""Knocked Up"" and ""40 Year Old Virgin"" but there doesn't seem to bee much chemistry with this group. I was waiting for ""Bruno"" to show up and throw in some more unnecessary genital conversation. I almost bought this, I'm so glad I only rented it.",Negative
task493_review_polarity_classification,Sentiment Analysis,task493-65422cf3a1014094b46636f248a7cb25,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.",I just recently purchased this near worthless software and found out very quickly that I just wasted [my money]! The music timing is all up to you!(so why did I buy this program?) They give you a chart and you must arrange the number of pictures to fit the music or else your slides end in an awkward manner without music or overrun. Yes you can adjust the time for all the slides but it's in 1 second intervals and in a 50 picture show that's 50 secondsa show you can be off by because you can't adjust each frame it's all or nothing. ...,Negative
task493_review_polarity_classification,Sentiment Analysis,task493-54265afe1dec44d99947ec70b41c5164,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.","Ten gold bananas, two thumbs up and hurrah for Gorilla! What a wonderful book. It was a pleasure to read! If you just want to get comfortable and enjoy a book-this is the one I would suggest.",Positive
task493_review_polarity_classification,Sentiment Analysis,task493-aaef025a9584438dbb7b671dbad621d6,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.","Complete waste of money. All three sizes pushed my Jawbone ICON out too far from my face to make contact with my jawbone.I know my ears stick out ... I am not dumbo though. This was a waste of money for me, thankfully they were only 10 bucks.I went back to the ear pads that came with the ICON... Is stays in for a while as long as i don't move... Not quite battlefield worthy as JB claims...",Negative
task493_review_polarity_classification,Sentiment Analysis,task493-3b8417a3b1ea4af1851d6b8c0ca0904f,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.",I bought these holders for my dad because he has arthritis in his hands & it's difficult for him to hold 15-21 cards at a time. We used them over the holiday and they were a great hit.,Positive
task493_review_polarity_classification,Sentiment Analysis,task493-1bbb4dd763434b959b41a83a19bdc18d,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.",The book had a plot line that meandered like a dog in a fire hydrant warehouse. The characters were as flat as the paper they were writen on. The authors collaboration worked as well as a mixture of a heavy smoker in a fireworks factory. It is very obvious it is a collaboration and it needs the hand of a better editor. If I had bought the book instead getting it at the library I would be demanding my money back for getting such a good example of why popular fiction is looked down upon. 1 star is being generous. I enjoyed other works by the authors and am severly disapointed in this collaboration.,Negative
task493_review_polarity_classification,Sentiment Analysis,task493-01c887c30d8c49708ce19c695d8ed683,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.","I rented this movie while my husband was out of town, looking forward to a good chick flick. By the middle of my movie, I couldn't believe I was still sitting there, and by the end, I wanted my $4.00 back from Blockbuster. The story did not keep my attention and the pregnant friend has got to be the worst actress ever. I do not recommend this at all!",Negative
task493_review_polarity_classification,Sentiment Analysis,task493-714400be69704fb8b37bd8402b1fbea9,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.","As usual, Thomas and Friends are entertaining in all the best ways for kids! Good lessons and good fun.",Positive
task493_review_polarity_classification,Sentiment Analysis,task493-c5b76aa16d544efbb954cfe2c5781ea8,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.","This is the WORST CD-ROM game I have ever seen! My 7-year-old daughter longed for this game all Christmas season and she is bored out of her mind with it after one hour. It is slow, skippy, etc. running on a new computer! Don't waste your money like we did, skip right over this dud.",Negative
task493_review_polarity_classification,Sentiment Analysis,task493-8cdeb7a2275d42dfa94c3822f2d6ba09,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.","My review title pretty much says it all.One sided books are fine if not disguised. This book has an agenda, anti Wal-Mart and pro union. Facts contained are presented with all the reasons one should be anti Wal-Mart and pro union. Many facts aren't fact, like the statement that Asda took over J Sainsbury's in 2003 - didn't happen.As the world's largest and most successful retailer there are many more interesting books about Wal-Mart. Fine if you're anti Wal-Mart or pro union.......but don't preach, make a book, let me decide!",Negative
task493_review_polarity_classification,Sentiment Analysis,task493-be6e7f0366c24d6fba44be60344e7bb9,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.",I don't know what it is about this movie but it's a classic 80's flick! Mark Harmon is at his best. The plot is a little predictable but it's entertaining and takes you back to the decade past.,Positive
task493_review_polarity_classification,Sentiment Analysis,task493-3d5f53bde8ee40cabb0da3c340e207e7,"Given reviews from Amazon, classify those review based on their content into two classes: Negative or Positive.","This is a great video for learning basic belly dance technique.I am a professional dancer, and I recommend this video to women who are interested in learning how to belly dance.Atea has a very gentle demeanor, so the tape is not too intimidating for a beginner; she covers the basics well however, so that students who choose to continue with real-life classes have a good foundation to build upon.Atea covers finger cymbal (zil) patterns, slow (taqsim) movements, isolations and shimmies.There is a whole section (5 min. or so) at the end where women dance in different costumes, so that you can see how the moves can be put together.",Positive
