task_name,task_family,id,definition,inputs,targets
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-43d7dda585eb4774ab2ca3d07e2d1aab,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","Since I love both strawberries and kiwis, I thought this one would be perfect for me. Well, I was wrong. It basically tastes like bubbly fruit punch, not exactly strawberry kiwi. Looking at the ingredients list, it shouldn't surprise.... it's a mixture of fruits, kiwi and strawberry being on the bottom of the list.  I do recommend the cherry Switch drink, but that's the only one out of three that I liked.",Negative
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-2a702dca19f14d63a78102d628de936b,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","The energy shot truly does work! It had a terrible after-taste at first, but now that I know what to expect, I am getting used to it. I always have some water handy as a chaser...which helps! I am so glad to have found something that gives me the energy I need without all the chemicals found in other beverages. It's helped me kick my addiction to Diet Coke and other aspartame-laced caffeinated beverages. Yay!!!",Positive
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-370557a85555441a82a82fa0f1da8795,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","I made the mistake to give a Greeny to my puppy without reading reviews about this product. It was a bad idea. The poor puppy got very sick after eating a Greenie. He vomited and had diarrhea.  I took him to urgent care and the Vet's verdict(informed on the X-ray)was: ""a Greenie got stocked in his intestine"".  I was very lucky to get the puppy recovered with medicine. But surgery was being considered by the Vet (mind about $7,000). On the worst case scenario, my puppy could have died because his intestinal system was obstructed for 3-4 days.  After this unfortunate incident, I looked-up for reviews about this unsafe product -and not to be surprised- I found several concerning stories like mine. I also learned that few dog owners have sued Greenies because they believe it was the reason that provoked an obstruction to their pets digestive system, sadly resulting on death. ""Roughly 315 million Greenies were sold last year, but the breath-freshening treats have been blamed for at least 13 pet deaths and more than two dozen complaints have been filed with the Feds"". Dogster-com  Note that as the product label says: Greenies are not 100% digestible, and if you read with more attention, the label has a Warning saying that: dogs may get sick or even chock when ingesting a Greenie!  At the end of the day, it's hard to believe that there are companies like Grennies that don't address these issues, and just care about marketing and profiting -not so much about producing a healthy, safe treat for our best buddies.  In any case, I'd recommend to ask your Vet or read more dog owners reviews before giving Greenies to your dog.",Negative
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-bb74843078ca4463ba79ae04579bd11d,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",Purchased these for first time.  No second time.  The beans will not soften up nor will the pasta.,Negative
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-6922f0f135094e72817bba1fb9c8a5c7,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.",My celiac daughter loves the gluten free animal pasta.  It is by far her favorite.  We make macaroni and cheese with it and she asks for it several times a week and takes the leftovers to school for lunch the next day.  She loves that the pasta is animal shapes and different colors and the horse is her favorite.  A must have.,Positive
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-f3f595f5661b4169b032143e1d60fe07,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","My dog loves chicken breast treats. That is, until I bought these. I'm sure this is simply a matter of taste. I don't know if the additives smell different or what's turning him off but he'll pick it up and then just drop it. He refuses to eat them at all.",Negative
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-a811af0427dc42589c5f986f7604d863,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","I've tried a variety of Ahmad tea. Not because I particularly like this brand, but they are just easier to come across.  The Imperial blend, I believe, is the most complex yet well balanced of all the ones I've tried. It's full body like a good cup of Assam, which by no means overpower the delightful, clean taste of Darjeerling, complete with a long lasting note of bergamot. I enjoy it best in the evening. It gives a satisfying and relaxing finish to a busy day.  For those interested in the specifics: I use about 3 teaspoons of lose tea in a stainless steel infuser in a 16 oz mug, let it steep in 208F water for 2-3 min, take the infuser out, and drink it without sugar or milk to savor its sophistication.",Positive
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-2c4ba42721fb404eb437dcc06a71ca47,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","I don't know if it was the case of chips we received or what, but everyone we allowed to sample the chips (in a buffet style setting) agreed that these were slightly on the salty side. One person jokingly stated that these would be terrific for melting ice and snow, due to the amount of salt in these.  We had ordered these with the expectations that these would be similar to the Lay's Kettle Mesquite Potato Chips, but these Kettle brands outback bbq chips are the exact opposite.  Sorry folks, we just had better expectations from these chips but they a little on the on the salty side.  We are still looking forward to Amazon finally getting the Lay's Kettle Mesquite Potato Chips in stock. These got a 2 star, because the bbq powder they had used on these were flavorful enough to be unique.",Negative
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-012d358c23b0478f9f5325b7b35f300f,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","I ordered these for work and they came all in a box, no problem. There was a problem with some of them being broken and leaking all over. I wrote an email to the seller letting them know that but to this date, still havent heard a word from, them.. Good customer service.",Negative
task586_amazonfood_polarity_classification,Sentiment Analysis,task586-8d142ca4cff04aa0811fefbe5c66da8d,"You are given a review of Amazon's food products. Your task is to divide them into two classes: negative or positive, depending on the content of the review.","I've had the other Annie's shells and cheddar and they're usually very good. I wanted to try whole wheat to be healthier, but it's really not worth it. It has a different texture that I didn't like. The flavor was okay but a little bland. If you want a good mac and cheese, stick with the original version from Annie's!",Negative
