task_name,task_family,id,definition,inputs,targets
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-0d8279a9cd5e474caf62ff191c0df7ee,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.","These guys truly are the scum of the earth.  A neighbor of my friends called them on me and claimed that I was parked in her spot.  I was not-- my friends have two spots, and I was parked in one of them.  The driver essentially threatened my friend whose spot it was, and when I told him all I had to get the car down was $42, he told me to 'dig deeper'.  He told my friend, who is one of the most gentlemanly people I know, to step away from the car because he was being 'a smart guy'...not true at all.  Then, he threatened to drive away, making me pay the whole $129.  Finally we came up with $50 total and he skeptically counted it and drove away.  These are the worst scum of the earth, theyre crooked, and will do anything to make a quick buck.  Be very careful if you ever have the misfortune of dealing with these troglodytes.",negative
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-8d9429ec40e841cf8c1a72b91009ec10,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.",This place is just amazing! We came around noontime and they said they were sold out. The owner was kind enough to get more ingredients to make five pho bowls just for us!! We had chicken pho and the noodle and broth was delicious and very fresh!,positive
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-4f9497c8a5d54c80ae31a240e55b38d8,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.","We went there for dinner on Sunday night and enjoyed it very much! To begin with, our hostess was friendly and accommodating.  Our server was easy going, also friendly, and helpful.  The decor felt like a mix of retro and Asian influences.  We were a party of four and had the cripsy spring rolls and braised pork belly buns, which were fun and tasty!  We also had the dumplings (our favorite dish!), the chicken udon noodles that were a bit spicy but very good, and the chicken wings (good), plus sides of rice.  The drinks (mine a Lotus Flower--delicious!) were creative and yummy.  And then for dessert we had the coconut cream pie and the vanilla bean parfait, both of which we felt like we could have done without...neither wowed us.   I would definitely return, since it was a fun environment with good food and decent prices, but some of the others in my group did not feel that way.  All in all, a good place with good food!",positive
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-bdaacea72d544ceb94648f1b5d5539d5,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.","Might be helpful if you were looking to buy, but if you need help with something you currently have then good luck getting any help or response.  I walked into this place around 5:30p on a Tuesday and there are seven workers sitting around and no customers in the store.  I went in to find out about a cracked screen on my galaxy I got three weeks ago- didnt drop it or have anything hit it to my knowledge.  I figured it happens and was lucky I had insurance and was willing to pay the deductible.  Some guy named Chauncey looked annoyed to have to help (which he didnt help at all so I dont know why he was annoyed).  Immediately thought of everything they could say to get rid of me.  I purchased at a third party store, not a corporate store (had no clue of this myself); I could pay $350 and cancel the contract if I didnt like it; I could buy a knew one.  Now I know why everyone hates Sprint- they dont care about their customers.  Then some other worker wanders over and says, 'you know it can crack if you carry it in your pocket' and walked off like she had just saved the day.  This place is terrible.  Its obvious the workers dont want to be there.  Stay away from this store and Sprint",negative
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-be89a38a27b94e46864356091d94608a,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.","My husband and I decided to go here one night to grab some quick pizzas! We were out all day, and busy so we were starving! We picked up our pizzas and drove home which isn't to far about 10 minutes away. Anyways when we got home, I took a bite out of the hand pan pizza and it was completely raw!!! The dough wasn't even cooked, and I almost gagged! How in the world can someone give their customer an undercooked raw pizza! It's just awful! So naturally we called to let them know about the situation and asked if they could deliver the new pizzas to us, since it was their fault for messing up in the first place! Well long story short, they said they wouldn't because they did not deliver to our address, even though it was literally 10 minutes down the road in the next city over! So my husband decided he would just go grab the new pizzas...Well 30 minutes later my husband comes home with the new pizzas and guess what.....they were undercooked and RAW!!!! At this point I was just fed up, so I called dominos back, and told them they once again sold me undercooked pizzas...so the girl on the phone puts her manager on the phone, and I explained the situation. The manager then tells me she personally made the pizza and if she kept it in the oven any longer it would have burned! I told her well then you need to be re-taught how to make a pan pizza because what they should be doing to avoid it from burning the toppings or being undercooked is putting the dough in alone to cook a bit and then taking it out adding the toppings and putting it back in to cook! Clearly dominos needs to retrain these employees at this location! Anyways point to this story is my husband had to go back a third time for new pizza! While the other pizzas got cold! They didn't even want to credit us for the pizzas but they made sure we brought the other undercooked pizzas back! Like seriously they make me laugh!!! What are they going to do resell the pizza that should be trashed? What a joke! Needless to say, I contacted corporate and I hope they take this matter seriously because as a customer and for this huge inconvience they should do something! Anyways do not go to this location unless you want raw dough for your meal!",negative
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-3a6602a1d7c84dfba851d0ce334571d5,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.","I've been to this location a couple of times, the service has never been great but I've come back for the good food. This time both the service and the food were absolutely horrible. My husband and I were starving and came in for a late dinner after a day of work and events. After I was seated first and waited for him to arrive, I ordered a cocktail that took about 15 minutes to arrive and it also took me asking (literally) 5 times to receive a glass of water. I'm pretty sure this was our server's first night on the job as he was incredibly awkward and forgetful and did absolutely no bussing unless we asked him to clear things. We ordered 2 appetizers, the firecracker shrimp and the trout dip. The trout dip was tolerable, but had an overwhelming mustard taste that drowned out any other flavor. The firecracker shrimp tasted like something from a cheap Chinese restaurant and was served with jarred chili sauce and a sickly sweet mayonnaise. Then came the entrees... which took us having to flag down our server long after we had finished our appetizers to order. His turkey meatloaf was decent though nothing spectacular. My barramuni was inedible. I don't know how a piece of fish can be simultaneously oily and dry. Not only that, it was completely unseasoned, but I still found it bland after adding salt and pepper. The fish was supposed to come with quinoa, squash and green beans. Underneath my disappointing piece of fish was maybe 2 tablespoons of quinoa and some mushy squash. This wouldn't have been a big deal if it hadn't taken so long for our server to check on our dishes, and then if a manager had come by in a timely manner. Instead we had to yet again flag down our server, and then when he seemed confused about what to do, we had to ask him to send over the manager. Even after taking my entree off the bill I was furious to have spent $50 on such a disappointing experience.",negative
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-e1c1493886994e21b5f8c9ca5d3ddd67,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.",Went there this morning expecting good things. Terrible under-cooked food(twice we sent it back)  not a good experience.  We ordered Ham and got some space age meat like substance. Never again.,negative
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-f9e9c19e683b46d48191f50c7bec0cd3,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.","My husband and I have been pleased with hooters wings and had pretty decent service at the last hooters we went to. This one I must say was pretty bad. We had a craving for some crab legs and knew that Hooters had a very good price on them. This one is close to our new apartment so we drove down there and it was pretty crowded as the NBA all star game had started. Our server brought us out our drinks fairly quickly for the amount of people there at the time. Too bad we found out after she brought the drinks out that they were out of crab legs. I was pretty disappointed but I do understand that it happens, especially in a restaurant that does not specialize in seafood.After we ordered our meal, it came out tasting great and and while it took a bit of time to cook, I could understand. People were clearing out by this time so there were a lot of tables to clean up. We finished our meal within 15 minutes and never heard from our server again.After waiting for the check for about 15 minutes, I figured she might have thought we were still eating...I'm not sure. So I took both of our empty trays and put them on the end of the table. We were seated in a high traffic area so I figured that next time she walked by she would see we were finished and ask us if we wanted to order anything else or just get the check. This never happened. After another 15 minutes, I began to get up and stand next to my bar stool because my butt was going numb and my husband was just kinda looking around. The waitress was cleaning the table next to ours who had cleared about probably about 10 minutes earlier and by this time it was us and only a few other customers in the restaurant so I assumed she would get to our plates next. This never happened.Within the NEXT 15 minutes she cleaned up the table next to ours, then started very casually wiping down a table directly diagonal from us, there was a guy sitting there with a drink at a table that was pulled together with this one to support a large party and she began getting flirty with him: Bending over real far to wipe the table, sitting on the stool and playing with her hair while talking to him, and making small talk while my husband and I are sitting here 10 feet away looking at her do this with empty drinks and dishes on the table for 45 minutes now. After this fiasco I had enough and went up to the front counter where another waitress asked me if I needed something and I told her i had been waiting for almost an hour just for my check and then walked out of the restaurant while my husband waited at the table to pay.She ended up getting a dollar from us for the tip and an assurance we will never be back. I can understand at hooters the girls work there and try to get large tips out of single guys. I have no problem with this if they men and boys want to be suckers and throw their money at them. What i DO have a problem with is ignoring your other paying customers for ages and making us wait there all night while you are sitting at the table with a customer and acting like you are off the clock. Not acceptable. I've never given any server under 10% for service even if it was pretty bad until now. If I do decide to go back to Hooters it will not be for a very long time.",negative
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-93a8f61a2ca74aee9879626ae2080bda,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.",Mediocre coffee at best. Never coming here again. I ordered a coffee and it came hot instead of iced and I politely asked if I can have it iced. The rude  barista tells me that it costs $5 and he won't make it again... Yes I know it costs $5 because I already paid for it asshole! Then he paid a big deal when I asked him to give me a cup with ice after he refuses to make me another drink. Such a simple request in my part didn't deserve such attitude. Please learn about good customer service especially when one is paying so much for a watered down drink at best. I will rather go to any Starbucks in the area ( there are two) than ever go to this place again as there is friendly staff and cheaper drink options.,negative
task746_yelp_restaurant_review_classification,Sentiment Analysis,task746-7ebbc6ffbdbe480b9c35f980147fcc14,"You are provided with a user review of a restaurant. Your task is to classify the given review into two categories: 1) positive, and 2) negative based on its content.","Me and my boyfriend just left Gino's and had one of our worst dining experiences. The couple seated behind us were having a similar experience and at least provided us with some comic relief. It took about 15 min for our server to bring menus but when se did, she apologized. She took our order, didn't write anything down then came back and asked us what we ordered again. She brought 2 waters even though my boyfriend had asked for iced tea, about 15 minutes later brought our salads then came BACK and asked what we were waiting on so she could look out for it. Our 2 slices of pizza came another 15 minutes later like warm and not very flavorful. The couple behind us had to refill their own drinks and go searching for silver wear. After finishing our food and not being brought our check we went to the counter to pay, where the server had to wait for another woman to finish taking to-go orders and helping customers before she could get change for us. So much for grabbing a quick dinner. We were there for an hour.",negative
