task_name,task_family,id,definition,inputs,targets
task761_app_review_classification,Sentiment Analysis,task761-d2533f5134684afaa04e812d0b70625f,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesnt work on s3.,Negative
task761_app_review_classification,Sentiment Analysis,task761-ca8188acff104a1596a2eb8a3f5e3b52,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",So far so good,Positive
task761_app_review_classification,Sentiment Analysis,task761-3c0bf92aeca344f0b92ab43056faf83d,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesn't work Using s galaxy note 4.phone on charge and widget is not picking up the charger,Negative
task761_app_review_classification,Sentiment Analysis,task761-0c5710d8751741e2a46bf659a12a0447,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",The real deal Outstanding,Positive
task761_app_review_classification,Sentiment Analysis,task761-45368d23eae94d0aba724637e7fd5ab9,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Shows a draw of 1 mA at best  or 0mA most of the time.,Negative
task761_app_review_classification,Sentiment Analysis,task761-4f5ab690d64c457b958821a41484cede,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Support Doesn't work on lollipop 5.1.,Negative
task761_app_review_classification,Sentiment Analysis,task761-eb0d966135594169a858e715c1041e44,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Great Almost perfect App. Sadly uses too much battery  but I think that's because of the Quassel Protocol.,Positive
task761_app_review_classification,Sentiment Analysis,task761-db4b3e35b6fd4efbb5db63d7baee50ff,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Not working Not working at oppo. Saying source not available for hr,Negative
task761_app_review_classification,Sentiment Analysis,task761-dd547f13a8324e7a9be3e498cfbdb85c,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesn't work Doesn't work with my GS5,Negative
task761_app_review_classification,Sentiment Analysis,task761-37007463a8664a4e9b896b4f4db2f73e,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesn't even connect. Just returns invalid username/password,Negative
task761_app_review_classification,Sentiment Analysis,task761-1a6a5b80076348b4a3d4a3d608bed73d,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Updated and Now Doesn't Work Used to work fine on my Samsung S3  but since update doesn't work at all.,Negative
task761_app_review_classification,Sentiment Analysis,task761-7507c7ea111845739e3d04bc2afcd6ac,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Please remove from Google play Does not work. No reviews from 2014. No updates. Outdated.,Negative
task761_app_review_classification,Sentiment Analysis,task761-3300365ded734eacb87282b57bc11965,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Awesome Works great and does exactly what I need it to do,Positive
task761_app_review_classification,Sentiment Analysis,task761-9a6b5e60eee34a8aba4e86f28364d623,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Sweet Pick your source device in settings. Default is hackrf. May need driver as well,Positive
task761_app_review_classification,Sentiment Analysis,task761-7ca09ed76289422b8b2c14d3b2587bed,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Works well with my Hackrf Hopefully new updates will arrive for extra functions,Positive
task761_app_review_classification,Sentiment Analysis,task761-9018e84b3ea34606adfb31987a70f1ff,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Don't show anything. Not 1 # was shown,Negative
task761_app_review_classification,Sentiment Analysis,task761-e26535a9dc2f46e0a8e826614a426e69,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Waste,Negative
task761_app_review_classification,Sentiment Analysis,task761-2a0c5a1c1df349be950b55167d8f689f,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",awesome app  seems stable and runs well on Note 4 with RLT-SDR  can't wait to try it out on the HackRF One. Happy to support the developer!,Positive
task761_app_review_classification,Sentiment Analysis,task761-7d01d47c651844108a9f5798986457fa,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Stopped working,Negative
task761_app_review_classification,Sentiment Analysis,task761-28d79b0bacad42e4bd7088655b28cd15,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Nothing worked. Blank screen.,Negative
task761_app_review_classification,Sentiment Analysis,task761-827a63e7fa504a74b5b3498da4765b2f,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Updates? Hasn't been updated in a long time (2014) and appears to break in Android N. Unfortunately it appears this is the only quassel client for Android.,Negative
task761_app_review_classification,Sentiment Analysis,task761-3e6919d10d3646bab9804514b67f7360,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Great client. One request: Make back key open the channel list on first click. Would be more useful than just popping up a message telling me to click again to quit. Could still quit on second click.,Positive
task761_app_review_classification,Sentiment Analysis,task761-b0bdde6e445c48e69fa412e395ce1cb7,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Exactly what I was looking for! I needed to read notifications without playing them over the speaker  only over the headset. Perfect when I am driving. And being able to choose it to play over the media channel instead of notification really did the trick. Thanks!,Positive
task761_app_review_classification,Sentiment Analysis,task761-ea3b17ca8879469188f67d36235264f8,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Awesome work - thanks for open sourcing! So happy to discover this project. Thank you so much for the first GPL open source Android sdr spectrum explorer I've seen. Very exciting. It's also great that you've made it easy to put a $ in the tip jar via the app store. I'm really jazzed about RF Explorer! Keep up the great work! Other features it would be wonderful to see in future versions (these would be icing on the cake!): - DC offset correction - Audio gain control - (maybe even audio spectrum display?),Positive
task761_app_review_classification,Sentiment Analysis,task761-e888e03bc86a4ffebe39fb77ba14d9ba,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Great application Work's well with my ZenFone 5,Positive
task761_app_review_classification,Sentiment Analysis,task761-ff4ed092cf6b4a3d9b3aefb09a9ff101,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",good very nice,Positive
task761_app_review_classification,Sentiment Analysis,task761-d06083a5d1664330b58542fa2d309288,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Does not work on htc Can't be started on htc one m8,Negative
task761_app_review_classification,Sentiment Analysis,task761-7da2bc0ad2e846669d7a5477dcc46775,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Just says 0 Doesnt work for me.,Negative
task761_app_review_classification,Sentiment Analysis,task761-a21b41982f0d4c28943d57f932918a13,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Unworking for Samsung S7 Edge Please fix it as i am your loyal user since Samsung S4 asap,Negative
task761_app_review_classification,Sentiment Analysis,task761-0d4faad282544176a1e3d03e58d204e1,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",LOL @Video Crew  this is a LOG VIEWER and is unable to delete any settings from your phone.,Positive
task761_app_review_classification,Sentiment Analysis,task761-8c039fdfa25143d9a93655f6088c81dd,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Scam. Showed 1800 mA on my Galaxy S5 even though it was on a 1.0A charger. With how many ads this thing displays  I'm pretty sure it's a scam app.,Negative
task761_app_review_classification,Sentiment Analysis,task761-9f740df6b3e040ba95bb767b5f403440,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Really it's very nice for notification. .. I love it. .thanks,Positive
task761_app_review_classification,Sentiment Analysis,task761-1d19ef3ba72e496db8be9d0811348766,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Fantastic!!! ? I have found what am looking for  in these years I have tried so many apps but this is bomb ? the app of the century friends I advise you all to go for this super app.,Positive
task761_app_review_classification,Sentiment Analysis,task761-00bb0dfcc9ac42279faa9bddce8b1e5b,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesn't work This app doesn't work on Yu Yureka. It didn't show the current in mAh.....,Negative
task761_app_review_classification,Sentiment Analysis,task761-29fca49b5d7643f0a77665109f5bb51a,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Worst app Didn't work,Negative
task761_app_review_classification,Sentiment Analysis,task761-80497cd6e572417086e5ba7ee17d0b84,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",You cant use Android without even debugging it You cant use Android without even debugging it  could you? Helps tracking down bugs.,Positive
task761_app_review_classification,Sentiment Analysis,task761-6e398b0f4ab640d4b326754f1180f978,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Best app I don't think there a better working app. Ignore text is good feature.,Positive
task761_app_review_classification,Sentiment Analysis,task761-592e47f27f7a4ccb8c710de4f0b65b49,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",I think it would be neat if there were to be a wifi analysis tool built in which would overlay a spectrum analysis with access points and channels.,Positive
task761_app_review_classification,Sentiment Analysis,task761-35965121917e408d8e5636154ccae7e5,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Best App.,Positive
task761_app_review_classification,Sentiment Analysis,task761-0986d9320ea84db4ba2b18116ead7993,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesnt work on Note 4 It show me the Mah anywhere,Negative
task761_app_review_classification,Sentiment Analysis,task761-172791d41c454e66b3d4ddb6609bcc29,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Current widget Could set options  but no display of values. Galaxy S5,Negative
task761_app_review_classification,Sentiment Analysis,task761-5bc0a9ec424b480ab811bef76c9e06f8,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Description about Internet access is a lie. This app connects to the Internet even at its first start  doing many connections to Amazon servers. And also doesn't show any log  not even its own log  without root. Another bad XDA sponsored project.,Negative
task761_app_review_classification,Sentiment Analysis,task761-9c1327a8adec4e8e97c4d94535ae9169,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Doesn't work Shows only voltage no amps,Negative
task761_app_review_classification,Sentiment Analysis,task761-c897777aea2b465c893669d0e034b1c5,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Works great,Positive
task761_app_review_classification,Sentiment Analysis,task761-536a5aaa718148b9bb277ab105022ba5,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Full featured and just Excellent !!!,Positive
task761_app_review_classification,Sentiment Analysis,task761-9abbfb74651d4f5ea6c492ae53d5fdc2,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".","Does not work. Does not work on android 7.0  I get a """"""""""""""""""""""""""""""""failed to load certificate"""""""""""""""""""""""""""""""" error.""""",Negative
task761_app_review_classification,Sentiment Analysis,task761-0a97508bfe2444bf9ce8097f966193ab,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Great app! Works flawlessly on my Samsung galaxy S5.,Positive
task761_app_review_classification,Sentiment Analysis,task761-a271b740faa64dcf8e26b71c4a8a1dae,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",extremely perfect,Positive
task761_app_review_classification,Sentiment Analysis,task761-de27f378356d425cb67e6535a5f54c07,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Does not work OPPO Find7 Color OS 2.1.1i beta.,Negative
task761_app_review_classification,Sentiment Analysis,task761-3fa4d5520c594c269cb6b3c362c9073d,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",No Does not work on nexus 4,Negative
task761_app_review_classification,Sentiment Analysis,task761-d6183f6a221a487fbf8ae0882e7a2fb5,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Yet another battery app that always reports the current as a positive value. The problem is that it is common for a device to be discharging when connected to a low power adapter (or cheap cable) because the device is using more current than is being provided. Under those conditions CurrentWidget reports a charging current when it is in fact a discharging current. So far the only app I've found that gets it right is GSAM. Unfortunately  the GSAM widget updates very slowly.,Negative
task761_app_review_classification,Sentiment Analysis,task761-6395d32c392f4f1d85e9a9e60521fa35,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Core<->IRC disconnects can crash app. Overall much better than Windows app! I've also installed the beta APK from F-Droid and can confirm the auto-reconnect works great. Side bonus: material design!,Positive
task761_app_review_classification,Sentiment Analysis,task761-ef2bf0165a89402db32ab98bf7ef991f,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Additional info Used it w/RTL-SDR (R820T) on my phone (Moto G) also and it works great there too. I already had FM on this phone and now have NWS  taxis  Aviation  Marine  etc. Hopefully scanner update soon. Love it! Have it also on my new Chuwi HI8 dual-mode tablet so you can add that to the list ,Positive
task761_app_review_classification,Sentiment Analysis,task761-907d305b994a4498a3a4a6ae3af01f94,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",annoying It uses the voice feedback for the visually impared so EVERYTHING you do or touch on your phone gets read out not just notifications.,Negative
task761_app_review_classification,Sentiment Analysis,task761-a39819aaf87b420a917ca169097ed99c,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Worst app. It doesn't work at all,Negative
task761_app_review_classification,Sentiment Analysis,task761-ef95be653eb54975ad016e1f7e740bbd,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Superb on Tesco Hudl 2 Worked first time with RTL dongle and pre-installed driver from Martin Marinov,Positive
task761_app_review_classification,Sentiment Analysis,task761-d3d2abd0ab884860aa28d3d0631d0a3d,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",I'll forgo the refund. But no go with Watson dongle... Nexus 9. Yet to try on Nexus 6p. So very disappointed!!! :-(,Negative
task761_app_review_classification,Sentiment Analysis,task761-eaecdc0b49d24a6aa2913d7f1cb63fc1,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",cool and friendly,Positive
task761_app_review_classification,Sentiment Analysis,task761-8f684ad7458649dfb4a3594c9d2eb609,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",the best notifier of all time Moto e 2gen.,Positive
task761_app_review_classification,Sentiment Analysis,task761-6622173a92194ff6b5af5fa70ffd33d4,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Do not ever install this app I like to never fixed my phone,Negative
task761_app_review_classification,Sentiment Analysis,task761-dc2ed9fbaa2c405fad6a63764e2a6d01,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Very good I can at least tweak it to my own needs. I now got rid of my previous  similar  app. Thanks,Positive
task761_app_review_classification,Sentiment Analysis,task761-d864e860739547378ce8fa60ac24467e,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Useful and effective  though I think the input widget could use a bit of work.,Positive
task761_app_review_classification,Sentiment Analysis,task761-a98480f4f51846778ddcfa84e4582a83,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Awsome App! Easy to use  works great on Notes w / Realtek dongle.,Positive
task761_app_review_classification,Sentiment Analysis,task761-57b9f95b87924e0cafac526117992cb0,"In this task, you are given an app review. Your task is to identify whether its sentiment is ""Positive"" or ""Negative"".",Excellent job This app works great. No head aches   no yelling. I followed the instructions  downloaded the driver. My rtlsdr worked not a single problem. I can't get any rtlsdr to work on my desk tops. Thank you oh great one!,Positive
