task_name,model,accuracy,latency,number_of_samples
task1312_amazonreview_polarity_classification,distilbert-sst2,0.939394,0.078579,132
task1312_amazonreview_polarity_classification,bert-sst2,0.962121,0.330527,132
task1312_amazonreview_polarity_classification,albert-sst2,0.848485,0.119839,132
task1312_amazonreview_polarity_classification,bert-tiny-sst2,0.833333,0.007254,132
task1312_amazonreview_polarity_classification,roberta-large-en,0.984848,1.045137,132
task1312_amazonreview_polarity_classification,distilbert-imdb,0.962121,0.396225,132
task1312_amazonreview_polarity_classification,twitter-roberta,0.931818,0.087466,132
task1312_amazonreview_polarity_classification,vader,0.840909,0.000409,132
task195_sentiment140_classification,distilbert-sst2,0.795455,0.016118,132
task195_sentiment140_classification,bert-sst2,0.80303,0.024374,132
task195_sentiment140_classification,albert-sst2,0.734848,0.031464,132
task195_sentiment140_classification,bert-tiny-sst2,0.643939,0.003274,132
task195_sentiment140_classification,roberta-large-en,0.765152,0.074539,132
task195_sentiment140_classification,distilbert-imdb,0.75,0.014512,132
task195_sentiment140_classification,twitter-roberta,0.734848,0.0271,132
task195_sentiment140_classification,vader,0.651515,0.000111,132
task284_imdb_classification,distilbert-sst2,0.909091,0.075336,132
task284_imdb_classification,bert-sst2,0.901515,0.13525,132
task284_imdb_classification,albert-sst2,0.916667,0.17931,132
task284_imdb_classification,bert-tiny-sst2,0.80303,0.008513,132
task284_imdb_classification,roberta-large-en,0.969697,0.418801,132
task284_imdb_classification,distilbert-imdb,0.94697,0.073919,132
task284_imdb_classification,twitter-roberta,0.787879,0.137193,132
task284_imdb_classification,vader,0.742424,0.002526,132
task363_sst2_polarity_classification,distilbert-sst2,0.901515,0.016422,132
task363_sst2_polarity_classification,bert-sst2,0.909091,0.025158,132
task363_sst2_polarity_classification,albert-sst2,0.909091,0.034537,132
task363_sst2_polarity_classification,bert-tiny-sst2,0.825758,0.003421,132
task363_sst2_polarity_classification,roberta-large-en,0.878788,0.076789,132
task363_sst2_polarity_classification,distilbert-imdb,0.825758,0.015,132
task363_sst2_polarity_classification,twitter-roberta,0.727273,0.027332,132
task363_sst2_polarity_classification,vader,0.674242,0.000123,132
task475_yelp_polarity_classification,distilbert-sst2,0.94697,0.073314,132
task475_yelp_polarity_classification,bert-sst2,0.931818,0.138931,132
task475_yelp_polarity_classification,albert-sst2,0.893939,0.180807,132
task475_yelp_polarity_classification,bert-tiny-sst2,0.80303,0.007806,132
task475_yelp_polarity_classification,roberta-large-en,0.954545,0.426965,132
task475_yelp_polarity_classification,distilbert-imdb,0.931818,0.070461,132
task475_yelp_polarity_classification,twitter-roberta,0.886364,0.136852,132
task475_yelp_polarity_classification,vader,0.757576,0.001118,132
task476_cls_english_books_classification,distilbert-sst2,0.909091,0.073843,132
task476_cls_english_books_classification,bert-sst2,0.893939,0.135531,132
task476_cls_english_books_classification,albert-sst2,0.924242,0.178319,132
task476_cls_english_books_classification,bert-tiny-sst2,0.787879,0.007757,132
task476_cls_english_books_classification,roberta-large-en,0.94697,0.415242,132
task476_cls_english_books_classification,distilbert-imdb,0.924242,0.070062,132
task476_cls_english_books_classification,twitter-roberta,0.840909,0.13692,132
task476_cls_english_books_classification,vader,0.681818,0.00126,132
task477_cls_english_dvd_classification,distilbert-sst2,0.840909,0.073421,132
task477_cls_english_dvd_classification,bert-sst2,0.878788,0.132893,132
task477_cls_english_dvd_classification,albert-sst2,0.878788,0.178465,132
task477_cls_english_dvd_classification,bert-tiny-sst2,0.75,0.008569,132
task477_cls_english_dvd_classification,roberta-large-en,0.931818,0.419073,132
task477_cls_english_dvd_classification,distilbert-imdb,0.901515,0.072593,132
task477_cls_english_dvd_classification,twitter-roberta,0.863636,0.136144,132
task477_cls_english_dvd_classification,vader,0.659091,0.00206,132
task478_cls_english_music_classification,distilbert-sst2,0.924242,0.072901,132
task478_cls_english_music_classification,bert-sst2,0.909091,0.134285,132
task478_cls_english_music_classification,albert-sst2,0.916667,0.178559,132
task478_cls_english_music_classification,bert-tiny-sst2,0.833333,0.009161,132
task478_cls_english_music_classification,roberta-large-en,0.969697,0.414995,132
task478_cls_english_music_classification,distilbert-imdb,0.909091,0.070843,132
task478_cls_english_music_classification,twitter-roberta,0.893939,0.136109,132
task478_cls_english_music_classification,vader,0.681818,0.001461,132
